year,mine.name,mine.state,countystr,mine.basin,mine.status,mine.type,company.type,operation.type,operating.company,operating.company.address,union.code,production.stons,average.employees,labor.hours,ARC
2008,Nora Preparation Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,"Wellmore Coal Company, Llc","1229 Homecreek Rd., Big Rock, VA 24202",,0,21,"46,074",1
2008,Cherokee Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Co Llc,"5703 Crutchfield Dr, Norton, VA 24273",United Mine Workers of America,"518,672",115,"249,311",1
2008,Roaring Fork No 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,"DickensonRussell Coal Co., Ll","5703 Crutchfield Drive, Norton, VA 24273",,"588,442",77,"165,282",1
2008,Premium,Virginia,Dickenson,Appalachia Central,Temporarily closed,Underground,Operating Subsidiary,Mine only,Banner Company,"P.O. Box 458, Big Rock, VA 24603",,"172,877",58,"118,523",1
2007,Mine No. 9,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,C. S. & S. Coal Corporation,"P.O. Box 1247, Wise, VA 24293",,"95,625",15,"35,083",1
2007,No 11,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Apple Jacks Coal Company Inc,"King Street, P.O. Box 584, N. Tazewell, VA 24630",,"21,233",10,"11,228",1
2007,No. 9,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Bristol Coal Corp.,"P.O. Box 1426, Grundy, VA 24614",,"123,621",21,"42,017",1
2007,Lmm,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Estep Coal Co Inc,"P.O. Box 1025, Grundy, VA 24614",,"33,274",16,"22,109",1
2007,Premium,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,The Banner Company,"P.O. Box 458, Big Rock, VA 24603",,"160,859",39,"75,489",1
2007,No 2,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Black Dog Coal Corporation,"5703 Crutchfield Dr, Norton, VA 24273",,"189,831",55,"116,826",1
2007,Mc Clure River  Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,"DickensonRussell Coal Co., Ll","7546 Gravel Lick Rd., Cleveland, VA 24225",United Mine Workers of America,0,40,"80,912",1
2007,Nora Preparation Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Rapoca Group Llc,"P.O. Box 458, Big Rock, VA 24603",,0,18,"51,988",1
2007,Cherokee Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Co Llc,"7546 Gravel Lick Road, Cleveland, VA 24225",United Mine Workers of America,"571,812",117,"256,153",1
2007,Roaring Fork No 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,"DickensonRussell Coal Co., Ll","7546 Gravel Lick Road, Cleveland, VA 24225",,"639,633",83,"174,862",1
2007,No. 4,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Contractor,Mine only,L & J Equipment Company,"Rt 1 Box 68, Honaker, VA 24260",,"38,621",19,"19,692",1
2007,Nme,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Contractor,Mine only,Estep Coal Company Inc,"P.O. Box 1025, Grundy, VA 24614",,"34,553",16,"21,720",1
2007,No. 3 Mine,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,"Apple Jacks Coal Company, Inc.","P.O. Box 584, N. Tazewell, VA 24630",,747,7,"3,110",1
2006,No. 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,L & J Equipment Company,"Rt 1 Box 68, Honaker, VA 24260",,"89,669",19,"39,515",1
2006,Nme,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,Estep Coal Company Inc,"P.O. Box 1025, Grundy, VA 24614",,"56,566",16,"42,879",1
2006,Mine No. 9,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,C. S. & S. Coal Corporation,"P.O. Box 1247, Wise, VA 24293",,"104,108",16,"36,030",1
2006,No. 9,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Bristol Coal Corp.,"P.O. Box 1426, Grundy, VA 24614",,"20,838",12,"12,261",1
2006,No 2,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Black Dog Coal Corporation,"P.O. Box 1578, Coeburn, VA 24230",,"201,127",53,"107,901",1
2006,Mc Clure River  Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,DickensonRussell Coal Company,"Rt 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,0,38,"79,091",1
2006,Nora Preparation Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Rapoca Group Llc,"P.O. Box 458, Big Rock, VA 24603",,0,19,"53,751",1
2006,Laurel Mountain,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,"503,901",98,"204,269",1
2006,Cherokee Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt. 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,"537,640",115,"260,955",1
2006,Roaring Fork No 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Co Llc,"7546 Gravel Lick Road, Cleveland, VA 24225",,"315,886",52,"104,181",1
