"","year","mine.name","mine.state","countystr","mine.status","operation.type","operating.company","production.stons","average.employees","labor.hours","total.stons","total.employee"
"71",2009,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining Llc",275,95,"237,481",5447,1329
"72",2009,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Cave Spur Coal Llc",194,44,"109,263",5447,1329
"73",2009,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Panther Mining Llc",251,89,"225,720",5447,1329
"74",2009,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company Llc",265,88,"215,381",5447,1329
"75",2009,"Clover Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",366,121,"297,986",5447,1329
"76",2009,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Energy Llc",120,57,"143,682",5447,1329
"77",2009,"Liggett #3","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",60,44,"121,298",5447,1329
"78",2008,"Highsplint","Kentucky (East)","Harlan","Active","Mine only","Parton Bros. Contracting Inc.",364,22,"36,116",6244,1195
"79",2008,"Liggett #3","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",78,51,"142,595",6244,1195
"80",2008,"No 3","Kentucky (East)","Harlan","Active","Mine only","A & M Coal Co Inc",177,12,"21,941",6244,1195
"81",2008,"Timber Tree #9","Kentucky (East)","Harlan","Active","Mine only","Parton Bros. Contracting, Inc.",305,16,"28,456",6244,1195
"82",2008,"Liggett #5","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",188,74,"210,156",6244,1195
"83",2008,"Mine No 4","Kentucky (East)","Harlan","Active","Mine only","A & M Coal Co Inc",106,39,"17,954",6244,1195
"84",2008,"Darby Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",337,114,"306,452",6244,1195
"85",2008,"K4 Mine","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company, Inc.",31,17,"45,494",6244,1195
"86",2008,"Huff Creek No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",359,114,"299,381",6244,1195
"87",2008,"No 18","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",395,21,"50,998",6244,1195
"88",2008,"D & C Mining  Corp,","Kentucky (East)","Harlan","Active","Mine only","D & C Mining Corp",141,23,"47,291",6244,1195
"89",2008,"Rb #10","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Company Inc",241,23,"59,020",6244,1195
"90",2008,"Gracie Mine #1","Kentucky (East)","Harlan","Active","Mine only","F&g Resources Llc",217,25,"21,815",6244,1195
"91",2008,"No. 1 Wallins","Kentucky (East)","Harlan","Active","Mine only","K & D Mining",312,18,"35,688",6244,1195
"92",2008,"Rb #12","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",349,24,"57,288",6244,1195
"93",2008,"Mine #2","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining, Llc",223,40,"105,245",6244,1195
"94",2008,"Panther Mine #4a","Kentucky (East)","Harlan","Active","Mine only","Panther Mining, Llc",110,33,"70,416",6244,1195
"95",2008,"P1","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining",290,19,"43,319",6244,1195
"96",2008,"C5","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company Inc.",77,30,"77,735",6244,1195
"97",2008,"K6","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Llc",165,22,"19,471",6244,1195
"98",2008,"Infinity #4","Kentucky (East)","Harlan","Active","Mine only","Infinity Energy Incorporated",259,17,"19,972",6244,1195
"99",2008,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining Llc",308,86,"224,068",6244,1195
"100",2008,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Cave Spur Coal Llc",211,39,"100,471",6244,1195
"101",2008,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Panther Mining Llc",264,78,"207,854",6244,1195
"102",2008,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company Llc",300,79,"208,392",6244,1195
"103",2008,"Clover Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",7,116,"305,369",6244,1195
"104",2008,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Powell Mountain Energy Llc",151,15,"23,741",6244,1195
"105",2008,"Liggett #6","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",279,28,"38,342",6244,1195
"106",2007,"Highsplint","Kentucky (East)","Harlan","Active","Mine only","Parton Bros. Contracting Inc.",83,29,"48,653",5181,1031
"107",2007,"Liggett #3","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",302,29,"57,083",5181,1031
"108",2007,"Liggett #4a","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",111,43,"112,006",5181,1031
"109",2007,"Liggett #5","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",195,59,"155,760",5181,1031
"110",2007,"Darby Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",303,105,"271,541",5181,1031
"111",2007,"Rb #4","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",24,25,"63,249",5181,1031
"112",2007,"C3 Mine","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company, Inc.",294,20,"47,667",5181,1031
"113",2007,"K4","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company, Inc.",334,14,"36,307",5181,1031
"114",2007,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining Llc",292,73,"200,135",5181,1031
"115",2007,"Huff Creek No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",295,104,"280,679",5181,1031
"116",2007,"No 18","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",387,21,"57,332",5181,1031
"117",2007,"D & C Mining  Corp,","Kentucky (East)","Harlan","Active","Mine only","D & C Mining Corp",64,22,"41,109",5181,1031
"118",2007,"Rb #10","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Company Inc",285,23,"61,349",5181,1031
"119",2007,"K3","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",28,22,"60,679",5181,1031
